"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2050","checkout with 1 product","","2026-06-26","passed","2026-06-26","","checkout","checkout with 1 product",""
"","944","Login with invalid credentials","","2026-06-26","passed","2026-06-26","","negative login","Login with invalid credentials",""
"","5450","Login with valid credentials","","2026-06-26","passed","2026-06-26","","login","Login with valid credentials",""
"","2893","Login with valid credentials","","2026-06-21","passed","2026-06-21","","login","Login with valid credentials",""
"","11822","checkout with 1 product","","2026-06-26","broken","2026-06-26","","checkout","checkout with 1 product",""
"","2898","Login with valid credentials","","2026-06-21","passed","2026-06-21","","login","Login with valid credentials",""
"","5618","checkout with 1 product","","2026-06-22","passed","2026-06-22","","checkout","checkout with 1 product",""
"","1335","Login with valid credentials","","2026-06-22","passed","2026-06-22","","login","Login with valid credentials",""
"","5818","checkout with","","2026-06-22","passed","2026-06-22","","checkout","checkout with",""
"","7968","Add products to cart","","2026-06-22","passed","2026-06-22","","Add to cart","Add products to cart",""
"","8304","checkout with 1 product","","2026-06-26","passed","2026-06-26","","checkout","checkout with 1 product",""
